,year,month,passengers,underperforming,outlier
0,1949,January,112,1,1
1,1949,February,118,1,1
2,1949,March,132,1,1
3,1949,April,129,1,1
4,1949,May,121,1,1
5,1949,June,135,1,1
6,1949,July,148,1,1
7,1949,August,148,1,1
8,1949,September,136,1,1
9,1949,October,119,1,1
10,1949,November,104,1,1
11,1949,December,118,1,1
12,1950,January,115,1,1
13,1950,February,126,1,1
14,1950,March,141,1,1
15,1950,April,135,1,1
16,1950,May,125,1,1
17,1950,June,149,1,1
18,1950,July,170,1,0
19,1950,August,170,1,0
20,1950,September,158,1,1
21,1950,October,133,1,1
22,1950,November,114,1,1
23,1950,December,140,1,1
24,1951,January,145,1,1
25,1951,February,150,1,1
26,1951,March,178,1,0
27,1951,April,163,1,0
28,1951,May,172,1,0
29,1951,June,178,1,0
30,1951,July,199,1,0
31,1951,August,199,1,0
32,1951,September,184,1,0
33,1951,October,162,1,0
34,1951,November,146,1,1
35,1951,December,166,1,0
36,1952,January,171,1,0
37,1952,February,180,1,0
38,1952,March,193,1,0
39,1952,April,181,1,0
40,1952,May,183,1,0
41,1952,June,218,1,0
42,1952,July,230,1,0
43,1952,August,242,1,0
44,1952,September,209,1,0
45,1952,October,191,1,0
46,1952,November,172,1,0
47,1952,December,194,1,0
48,1953,January,196,1,0
49,1953,February,196,1,0
50,1953,March,236,1,0
51,1953,April,235,1,0
52,1953,May,229,1,0
53,1953,June,243,1,0
54,1953,July,264,1,0
55,1953,August,272,1,0
56,1953,September,237,1,0
57,1953,October,211,1,0
58,1953,November,180,1,0
59,1953,December,201,1,0
60,1954,January,204,1,0
61,1954,February,188,1,0
62,1954,March,235,1,0
63,1954,April,227,1,0
64,1954,May,234,1,0
65,1954,June,264,1,0
66,1954,July,302,0,0
67,1954,August,293,0,0
68,1954,September,259,1,0
69,1954,October,229,1,0
70,1954,November,203,1,0
71,1954,December,229,1,0
72,1955,January,242,1,0
73,1955,February,233,1,0
74,1955,March,267,1,0
75,1955,April,269,1,0
76,1955,May,270,1,0
77,1955,June,315,0,0
78,1955,July,364,0,0
79,1955,August,347,0,0
80,1955,September,312,0,0
81,1955,October,274,1,0
82,1955,November,237,1,0
83,1955,December,278,1,0
84,1956,January,284,0,0
85,1956,February,277,1,0
86,1956,March,317,0,0
87,1956,April,313,0,0
88,1956,May,318,0,0
89,1956,June,374,0,0
90,1956,July,413,0,1
91,1956,August,405,0,1
92,1956,September,355,0,0
93,1956,October,306,0,0
94,1956,November,271,1,0
95,1956,December,306,0,0
96,1957,January,315,0,0
97,1957,February,301,0,0
98,1957,March,356,0,0
99,1957,April,348,0,0
100,1957,May,355,0,0
101,1957,June,422,0,1
102,1957,July,465,0,1
103,1957,August,467,0,1
104,1957,September,404,0,1
105,1957,October,347,0,0
106,1957,November,305,0,0
107,1957,December,336,0,0
108,1958,January,340,0,0
109,1958,February,318,0,0
110,1958,March,362,0,0
111,1958,April,348,0,0
112,1958,May,363,0,0
113,1958,June,435,0,1
114,1958,July,491,0,1
115,1958,August,505,0,1
116,1958,September,404,0,1
117,1958,October,359,0,0
118,1958,November,310,0,0
119,1958,December,337,0,0
120,1959,January,360,0,0
121,1959,February,342,0,0
122,1959,March,406,0,1
123,1959,April,396,0,0
124,1959,May,420,0,1
125,1959,June,472,0,1
126,1959,July,548,0,1
127,1959,August,559,0,1
128,1959,September,463,0,1
129,1959,October,407,0,1
130,1959,November,362,0,0
131,1959,December,405,0,1
132,1960,January,417,0,1
133,1960,February,391,0,0
134,1960,March,419,0,1
135,1960,April,461,0,1
136,1960,May,472,0,1
137,1960,June,535,0,1
138,1960,July,622,0,1
139,1960,August,606,0,1
140,1960,September,508,0,1
141,1960,October,461,0,1
142,1960,November,390,0,0
143,1960,December,432,0,1
